Project Title / Titre du projet,Project Leader / Responsable du projet,Project Managers / Gestionnaires de Projet,Maximum CFI contribution / contribution maximale de la FCI,Final Decision / Décision finale,Institution / Établissement
Improving clinical trial enrolment in cancer care.,"Rylett, Jane Rebecca","Poirier, Judes","$73,290.00 CAD",01-NOV-95,University of Minnesota
"PI 3-K/akt survival pathway activity in endometrial cancers:
Regulation of apoptosis, chemoresistance and prostaglandin secretion through specific signal transducers","Loeb, Lawrence Arthur","Joober, Ridha","$646,628.00 CAD",01-NOV-01,University of Calgary
Information needs of breast and prostate cancer patients and their family members in the context of complementary therapy decision-making processes,"Hamel, Éric","Faciejew, Michael","$503,542.00 CAD",01-NOV-91,University of Northern British Columbia
"Comprehension of cancer risk information on the Internet:
Role of graphical, numerical, and text formats by older adults","Macdonald, Mary Ellen","Walter, Michael A.","$174,637.00 CAD",01-OCT-96,Mount Allison University
Les difficultés de sommeil chez les personnes atteintes de cancer en fin de vie :
Aspects descriptifs et faisabilité d'une thérapie cognitive-comportementale et environnementale.,"Balaux, Elise","Kramer, Arthur F","$260,084.00 CAD",01-SEP-93,Simon Fraser University
Régulation des voies de phosphorylation des facteurs de transcription du groupe PEA3 et identification de partenaire(s) d'interaction dans le cancer mammaire,"Guay, Émilie","Denzinger, Jörg","$448,930.00 CAD",01-NOV-03,GE Glegg Water Technologies Inc.
"Measuring the sixth vital sign:
A prospective, longitudinal analysis of distress in head and neck cancer","Joober, Ridha","Sulkin, Carlos David Londono","$783,880.00 CAD",01-NOV-08,Massachusetts Institute of Technology
A systematic review of all available geriatric assessment instruments for older cancer patients.,"Villeneuve, Laurent","Montpetit, Eric","$904,549.00 CAD",01-SEP-01,Columbia
"Vitamin D, from diet and sunlight, and calcium and breast cancer risk","Corbett, Dale Ronald","Siadhail, Padraig F. O","$844,606.00 CAD",01-SEP-02,University of Guelph
A systematic review of factors influencing older adults' decision to accept or refuse cancer treatment proposed by their physician,"Hamel, Eric","Gregoire, Étienne;Warren, Sandra","$666,796.00 CAD",01-JAN-12,Arizona State University
The role of human tissue kallikrein 14 (hK14) in cancer biology and diagnostics,"Lefevre, Joanne","Plummer, Francis Allan;Guha, Abhijit","$830,060.00 CAD",01-APR-06,Brandon University
Radiolabelled peptide heterodimers to improve cancer diagnosis by positron emission tomography / Hétérodimères peptidiques radiomarqués pour améliorer le diagnostic par tomographie à émission de positron,"Macoir, Joel","Plummer, Francis Allan","$169,118.00 CAD",01-SEP-10,Surface Canada Inc.
The Terry Fox New Frontiers Program Project in genomics of forme fruste tumours:
new vistas on cancer biology and management,"Pelletier, Marie Eve","Plummer, Francis Allan;Joober, Ridha","$849,033.00 CAD",01-JAN-95,University of Saskatchewan
Validation and characterization of candidate familial pancreatic cancer genes.,"Nikiel, Jacek","Rylett, Jane Rebecca","$599,792.00 CAD",01-SEP-09,University of Guelph
Is the conditional inactivation of the age marker p16INK4a risky for cancer development?,"Corbett, Dale Ronald","Desrosiers, Johanne","$505,333.00 CAD",01-NOV-90,Laurentian University of Sudbury
Improving quality through process change:
a scoping review of process improvement tools in cancer surgery,"Gagnon, Étienne","Vliet, Bruce Nichols Van","$469,781.00 CAD",01-NOV-94,University of Guelph
Information needs of people with colorectal cancers,"Rouget, Francois","Petrucka, Pammla","$973,801.00 CAD",01-FEB-03,Institut National d'Optique
Expression of a new candidate tumor progression ge ne (TDE) in human lung cancer,"Loeb, Lawrence Arthur","Gagnon, Etienne","$435,036.00 CAD",01-JAN-09,Université Laval
"Issues in palliative care:
 Anorexia/cachexia syndrome of advanced cancer:
Identification of needs, gaps and opportunities in Canadian research","Macdonald, Mary Ellen","Belleville, Sylvie Ninon","$784,179.00 CAD",01-FEB-07,University of British Columbia
The function of Glypican-3 in hepatocellular cancer,"Rouget, Francois","Joober, Ridha","$661,272.00 CAD",01-SEP-87,University of Victoria
Mechanisms of chemoprevention of colon cancer by dietary inducers of phase 2 detoxifying enzymes,"Loeb, Lawrence Arthur","Villeneuve, Laurent","$317,578.00 CAD",01-FEB-97,University of Victoria
Molecular mechanisms of cancer chemotherapy induced apoptosis,"Turgeon, Marie-Ève","Rene, Éloise","$453,270.00 CAD",01-SEP-09,University of Minnesota
Therapeutic prognostic markers for chemotherapy of ovarian cancer,"Sulkin, Carlos David Londono","Desrosiers, Johanne","$237,715.00 CAD",01-MAR-04,Concordia University
Nutritional supportive care:
amino acids required to support maintenance and deposition of lean body mass in patients with advanced cancer,"Guha, Abhijit","Turgeon, Marie-Eve;Humble, Áine M.","$892,378.00 CAD",01-SEP-06,Memorial University of Newfoundland
Prédicteurs des pratiques de dépistage des cancers du sein et de la prostate chez les médecins de famille.,"Loeb, Lawrence Arthur","Sinding, Christina;Denzinger, Jörg","$471,895.00 CAD",01-JAN-11,Cape Breton University
Interaction of ICRF-187 with anticancer drugs and mechanisms of resistance of selected mammalian cell lines to the cardioprotective drug ICRF-187,"George, Eric","Gagnon, Etienne","$950,269.00 CAD",01-OCT-96,National Institutes of Health
Prognostic gene expression signature in non-tumor lung parenchyma to predict progression-free and overall survival in patients with non-small-cell lung cancer,"Leroux, Michel Rejean","Loeb, Lawrence Arthur;Vliet, Bruce Nichols Van","$837,278.00 CAD",01-NOV-89,McMaster University
"Implications to disease staging, prognosis and natural history in oral cancer of Euclidian analysis of data inherent in examination by Magnetic Resonance Imaging.","Guha, Abhijit","Petrucka, Pammla","$726,523.00 CAD",01-SEP-93,Allelix Biopharmaceuticals Inc.
"A phase II study of OSI-774 (erlotinib, Tarceva) in elderly patients with previously untreated advanced non-small cell lung cancer (NSCLC)","Pelletier, Marie Eve","Endicott-Popovsky, Barbara E.","$795,845.00 CAD",01-OCT-10,Maple Leaf Foods Inc.
Providing evidence to promote colorectal cancer (CRC) screening amongst populations with Chinese ethnicity in China and Canada:
Forming an international research partnership and setting priorities.,"Rylett, Jane Rebecca","Curadeau, Emile Brisson;Walter, Michael A.","$731,652.00 CAD",01-APR-92,CTF Systems Inc.
Gaining informatics skills to support translational cancer research:
Canadian Bioinformatics Workshop on Cancer Genomics 2014,"Nikiel, Jacek","Villeneuve, Laurent;Hamel, Eric","$86,463.00 CAD",01-SEP-90,"SDL Optics, Inc."
Developing a transdisciplinary international collaboration to study the aetiology of cancer in the upper areodigestive tract using a life-course approach,"Loeb, Lawrence Arthur","Denzinger, Jörg","$500,293.00 CAD",01-APR-91,Université de Moncton
Androgen receptor coactivators in prostate cancer,"Siadhail, Padraig F. Ó","Endicott-Popovsky, Barbara E.;Turgeon, Marie-Eve","$203,873.00 CAD",01-OCT-04,Technical University of Nova Scotia
Transition to end of life care for cancer patients in Nunavik,"Poirier, Judes","Belleville, Sylvie Ninon","$815,620.00 CAD",01-NOV-01,Arizona State University
Functional characterization of candidate tumor suppressor genes on chromosome 12 in pancreatic cancer,"Desrosiers, Johanne","Poirier, Judes","$142,657.00 CAD",01-APR-12,Laurentian University of Sudbury
Small molecule induction of apoptosis:
Anoikis sensitization in prostate cancer cells,"Telmer, Kevin H.","Wright, Gerard D.;Humble, Áine M.","$58,378.00 CAD",01-OCT-13,University of Calgary
Modification of biomarkers of breast cancer risk by a low fat diet supplemented with and omega-3-rich oil supplement in pre-menopausal women,"Sinding, Christina","Gregoire, Étienne","$326,067.00 CAD",01-JAN-03,University of Minnesota
"The use of dronabinol to increase appetite, enhance food enjoyment, and improve the quality of life for advanced cancer patients.","Gregoire, Etienne","Corbett, Dale Ronald;Macdonald, Mary Ellen","$139,849.00 CAD",01-MAR-03,Martec Limited
MicroRNA regulation of autophagy in breast cancer cells.,"Loeb, Lawrence Arthur","Denzinger, Jörg","$896,204.00 CAD",01-FEB-01,GE Glegg Water Technologies Inc.
Dissecting the roles of anti-tumor CD8+ and CD4+ T cells in the development of auto-immune sequellae following cancer vaccination.,"Joober, Ridha","Walter, Michael A.","$668,325.00 CAD",01-MAR-95,Cominco Engineering Services Ltd
"Insomnie, fonctionnement immunitaire et occurence d'infections chez les personnes atteintes d'un cancer non métastatique.","Macdonald, Mary Ellen","Kramer, Arthur F;Telmer, Kevin H.","$431,662.00 CAD",01-APR-00,BioChem Therapeutic Inc.
Establishing priority areas for quality improvement research in cancer surgery,"Endicott-Popovsky, Barbara E.","Villeneuve, Laurent","$276,963.00 CAD",01-NOV-89,University of Northern British Columbia
1er symposium de Chaudières Appalaches sur les services de santé pour survivants du cancer (PASS),"Anderson, Gail I.","Lefevre, Joanne;Endicott-Popovsky, Barbara E.","$180,806.00 CAD",01-APR-94,McMaster University
The value of quality of life information to cancer patients,"Joober, Ridha","Plummer, Francis Allan;Belleville, Sylvie Ninon","$185,613.00 CAD",01-JAN-99,CTF Systems Inc.
"Mechanism of inhibition of angiogenesis by thrombospondin-1 and IP-10, and the use of human microvascular endothelial cells as novel gene delivery vehicles for the gene therapy of cancer","Montpetit, Éric","Desrosiers, Johanne","$265,923.00 CAD",01-NOV-00,University of Regina
